county_fips,NAICS_CODE,sector_flag,establishments,nonemployers,is_target_sector
34013,81119,,79.0,146.0,False
34013,811191,,10.0,,False
34013,811192,,60.0,,False
34013,811198,,9.0,,False
34013,8112,,19.0,48.0,False
34013,81121,,19.0,48.0,False
34013,811211,,4.0,,False
34013,811212,,7.0,,False
34013,811213,,5.0,,False
34013,811219,,3.0,,False
34013,8113,,32.0,43.0,False
34013,81131,,32.0,43.0,False
34013,811310,,32.0,,False
34013,8114,,28.0,212.0,False
34013,81141,,15.0,30.0,False
34013,811412,,14.0,,False
34013,81142,,4.0,24.0,False
34013,811420,,4.0,,False
34013,81143,,,8.0,False
34013,81149,,8.0,150.0,False
34013,811490,,8.0,,False
34013,812,,957.0,6028.0,False
34013,8121,,587.0,3633.0,False
34013,81211,,522.0,3113.0,False
34013,812111,,46.0,447.0,False
34013,812112,,289.0,2354.0,False
34013,812113,,187.0,312.0,False
34013,81219,,65.0,520.0,False
34013,812191,,4.0,,False
