orig_fips,dest_fips,returns
36061,01089,11
39049,01089,11
48121,01089,11
06083,01089,10
09001,01089,10
12001,01089,10
12019,01089,10
12073,01089,10
37081,01089,10
48453,01089,10
51510,01089,10
58000,01089,170
59000,01089,2118
59001,01089,275
59003,01089,484
59005,01089,1098
59007,01089,261
57009,01089,25
96000,01091,317
97000,01091,317
97001,01091,228
97003,01091,89
98000,01091,-1
01091,01091,6634
01073,01091,25
01125,01091,23
01065,01091,22
01119,01091,19
01063,01091,18
01025,01091,17
01105,01091,13
01131,01091,12
01097,01091,10
01101,01091,10
58000,01091,59
59000,01091,89
96000,01093,476
97000,01093,476
97001,01093,316
97003,01093,160
98000,01093,-1
01093,01093,8611
01059,01093,49
01133,01093,43
01057,01093,39
01075,01093,39
01127,01093,27
01125,01093,20
01033,01093,13
01073,01093,13
01077,01093,13
58000,01093,60
59000,01093,160
96000,01095,1825
97000,01095,1825
97001,01095,1241
97003,01095,584
98000,01095,-1
01095,01095,29796
01055,01095,234
01049,01095,222
01089,01095,206
01009,01095,102
01043,01095,88
01103,01095,86
01073,01095,55
01071,01095,47
01125,01095,18
01083,01095,17
01003,01095,15
01015,01095,14
01117,01095,14
01019,01095,13
01115,01095,12
01097,01095,11
48201,01095,11
01081,01095,10
58000,01095,77
59000,01095,573
59001,01095,33
59003,01095,73
59005,01095,407
59007,01095,60
96000,01097,5444
97000,01097,5410
97001,01097,1919
97003,01097,3491
98000,01097,34
01097,01097,135945
01003,01097,649
28059,01097,229
01073,01097,169
01101,01097,160
01129,01097,136
12033,01097,114
28047,01097,96
01125,01097,78
48201,01097,71
01025,01097,70
01089,01097,62
01117,01097,55
13121,01097,51
01081,01097,50
28039,01097,44
12057,01097,43
01051,01097,42
12031,01097,42
12091,01097,41
22051,01097,41
13067,01097,40
13089,01097,40
01053,01097,34
12113,01097,32
13135,01097,32
12009,01097,30
22033,01097,30
06073,01097,29
01015,01097,28
12005,01097,28
12095,01097,27
22071,01097,27
17031,01097,25
06037,01097,24
12086,01097,24
01001,01097,23
04013,01097,23
13063,01097,23
28049,01097,23
47157,01097,23
01099,01097,22
22055,01097,22
26163,01097,22
48439,01097,22
48029,01097,21
01023,01097,20
01069,01097,20
13215,01097,20
12011,01097,19
12073,01097,19
28035,01097,19
48113,01097,19
01047,01097,18
12103,01097,18
28041,01097,18
01077,01097,17
48355,01097,17
01103,01097,16
13051,01097,16
36047,01097,15
47037,01097,15
48027,01097,15
01021,01097,14
01045,01097,14
15003,01097,14
01031,01097,13
06071,01097,13
28073,01097,13
32003,01097,13
37119,01097,13
51810,01097,13
01039,01097,12
01109,01097,12
01131,01097,12
05119,01097,12
22103,01097,12
28121,01097,12
37133,01097,12
47125,01097,12
01013,01097,11
01055,01097,11
01115,01097,11
12127,01097,11
36061,01097,11
37051,01097,11
45019,01097,11
01043,01097,10
06065,01097,10
21047,01097,10
28045,01097,10
28137,01097,10
39049,01097,10
58000,01097,130
59000,01097,1709
59001,01097,161
59003,01097,304
59005,01097,1020
59007,01097,224
57009,01097,34
96000,01099,299
97000,01099,299
97001,01099,196
97003,01099,103
98000,01099,-1
01099,01099,6864
01053,01099,29
01097,01099,29
01035,01099,26
01003,01099,24
01101,01099,20
01025,01099,12
58000,01099,56
59000,01099,103
96000,01101,5497
97000,01101,5381
97001,01101,3062
97003,01101,2319
98000,01101,116
01101,01101,78189
01051,01101,631
01001,01101,375
01073,01101,257
01085,01101,169
01047,01101,140
01081,01101,116
01087,01101,115
01097,01101,105
01109,01101,89
01089,01101,74
01125,01101,72
13121,01101,69
13215,01101,69
01011,01101,68
01123,01101,68
01117,01101,56
01069,01101,55
01013,01101,52
13089,01101,51
01041,01101,49
01003,01101,41
13135,01101,38
01021,01101,37
13067,01101,35
01113,01101,33
01121,01101,31
01099,01101,29
05007,01101,28
06037,01101,28
13063,01101,27
26163,01101,27
01015,01101,26
12091,01101,26
48201,01101,25
12057,01101,24
12095,01101,23
48029,01101,23
01005,01101,22
12031,01101,22
12033,01101,22
08041,01101,21
39035,01101,21
01025,01101,20
01131,01101,20
12005,01101,20
28047,01101,20
32003,01101,20
01031,01101,19
12086,01101,19
51059,01101,19
04013,01101,18
01045,01101,16
01053,01101,16
01103,01101,16
04019,01101,16
06095,01101,16
15003,01101,16
17031,01101,16
47037,01101,16
37051,01101,15
47157,01101,15
01055,01101,14
01091,01101,14
06073,01101,14
26125,01101,14
36081,01101,14
01039,01101,13
01083,01101,13
01095,01101,13
13153,01101,13
39061,01101,13
06071,01101,12
12011,01101,12
21111,01101,12
47093,01101,12
48113,01101,12
01035,01101,11
01105,01101,11
01119,01101,11
36061,01101,11
40109,01101,11
01017,01101,10
01077,01101,10
01115,01101,10
13051,01101,10
13077,01101,10
37119,01101,10
48439,01101,10
51153,01101,10
58000,01101,115
59000,01101,1314
59001,01101,158
59003,01101,228
59005,01101,775
59007,01101,153
57009,01101,116
96000,01103,2212
97000,01103,2193
97001,01103,1433
97003,01103,760
98000,01103,19
01103,01103,40243
01089,01103,359
01079,01103,267
01043,01103,163
01083,01103,135
01095,01103,74
01073,01103,64
01059,01103,41
01033,01103,33
01077,01103,31
01101,01103,27
01117,01103,25
01125,01103,23
01133,01103,19
01009,01103,18
01055,01103,16
06073,01103,15
01003,01103,12
01015,01103,12
13121,01103,12
01097,01103,11
01081,01103,10
01115,01103,10
01127,01103,10
58000,01103,73
59000,01103,733
59001,01103,39
59003,01103,131
59005,01103,482
59007,01103,81
57009,01103,19
96000,01105,160
97000,01105,160
97001,01105,116
97003,01105,44
98000,01105,-1
01105,01105,3182
01047,01105,29
01125,01105,18
01091,01105,12
01073,01105,10
58000,01105,47
59000,01105,44
96000,01107,259
97000,01107,259
97001,01107,156
97003,01107,103
